workclass,education,marital-status,occupation,relationship,race,sex,native-country,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,Female,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
?,Some-college,Never-married,?,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Philippines,"(0.233, 0.329]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Germany,"(-0.001, 0.123]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Some-college,Never-married,Sales,Own-child,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
?,10th,Married-civ-spouse,?,Wife,White,Female,Cuba,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Own-child,White,Female,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Federal-gov,Assoc-voc,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,12th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Masters,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Federal-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Masters,Married-spouse-absent,Sales,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.195, 1.0]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.329, 0.466]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Local-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States,"(0.233, 0.329]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
?,11th,Never-married,?,Not-in-family,White,Female,Germany,"(-0.001, 0.123]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Assoc-voc,Never-married,Other-service,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,11th,Separated,Sales,Unmarried,Black,Female,United-States,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,?,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,9th,Never-married,Handlers-cleaners,Own-child,White,Male,El-Salvador,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
?,Some-college,Married-civ-spouse,?,Husband,White,Male,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
